"Actual","Predicted","nPredictions"
"0: e","0: e","2999"
"0: e","1: mu","188"
"0: e","2: pi pi0","84"
"0: e","3: pi","27"
"0: e","4: pi 2pi0","0"
"0: e","5: 3pi","0"
"0: e","6: 3pi pi0","0"
"0: e","7: background","29"
"1: mu","0: e","38"
"1: mu","1: mu","3683"
"1: mu","2: pi pi0","1"
"1: mu","3: pi","23"
"1: mu","4: pi 2pi0","0"
"1: mu","5: 3pi","0"
"1: mu","6: 3pi pi0","0"
"1: mu","7: background","0"
"2: pi pi0","0: e","68"
"2: pi pi0","1: mu","4"
"2: pi pi0","2: pi pi0","4212"
"2: pi pi0","3: pi","77"
"2: pi pi0","4: pi 2pi0","174"
"2: pi pi0","5: 3pi","30"
"2: pi pi0","6: 3pi pi0","125"
"2: pi pi0","7: background","2"
"3: pi","0: e","62"
"3: pi","1: mu","105"
"3: pi","2: pi pi0","147"
"3: pi","3: pi","1895"
"3: pi","4: pi 2pi0","2"
"3: pi","5: 3pi","47"
"3: pi","6: 3pi pi0","22"
"3: pi","7: background","10"
"4: pi 2pi0","0: e","5"
"4: pi 2pi0","1: mu","4"
"4: pi 2pi0","2: pi pi0","816"
"4: pi 2pi0","3: pi","1"
"4: pi 2pi0","4: pi 2pi0","698"
"4: pi 2pi0","5: 3pi","2"
"4: pi 2pi0","6: 3pi pi0","73"
"4: pi 2pi0","7: background","1"
"5: 3pi","0: e","0"
"5: 3pi","1: mu","0"
"5: 3pi","2: pi pi0","107"
"5: 3pi","3: pi","13"
"5: 3pi","4: pi 2pi0","5"
"5: 3pi","5: 3pi","1481"
"5: 3pi","6: 3pi pi0","383"
"5: 3pi","7: background","0"
"6: 3pi pi0","0: e","4"
"6: 3pi pi0","1: mu","25"
"6: 3pi pi0","2: pi pi0","72"
"6: 3pi pi0","3: pi","6"
"6: 3pi pi0","4: pi 2pi0","248"
"6: 3pi pi0","5: 3pi","35"
"6: 3pi pi0","6: 3pi pi0","907"
"6: 3pi pi0","7: background","3"
"7: background","0: e","36"
"7: background","1: mu","8"
"7: background","2: pi pi0","23"
"7: background","3: pi","0"
"7: background","4: pi 2pi0","22"
"7: background","5: 3pi","2"
"7: background","6: 3pi pi0","12"
"7: background","7: background","6113"
