"Actual","Predicted","nPredictions"
"0: e","0: e","14404"
"0: e","1: mu","88"
"0: e","2: pi pi0","692"
"0: e","3: pi","128"
"0: e","4: pi 2pi0","36"
"0: e","5: 3pi","0"
"0: e","6: 3pi pi0","7"
"0: e","7: qq background","0"
"0: e","8: Bhabha","209"
"1: mu","0: e","136"
"1: mu","1: mu","18477"
"1: mu","2: pi pi0","8"
"1: mu","3: pi","188"
"1: mu","4: pi 2pi0","0"
"1: mu","5: 3pi","0"
"1: mu","6: 3pi pi0","0"
"1: mu","7: qq background","0"
"1: mu","8: Bhabha","67"
"2: pi pi0","0: e","103"
"2: pi pi0","1: mu","19"
"2: pi pi0","2: pi pi0","20254"
"2: pi pi0","3: pi","236"
"2: pi pi0","4: pi 2pi0","2225"
"2: pi pi0","5: 3pi","372"
"2: pi pi0","6: 3pi pi0","1276"
"2: pi pi0","7: qq background","2"
"2: pi pi0","8: Bhabha","160"
"3: pi","0: e","298"
"3: pi","1: mu","269"
"3: pi","2: pi pi0","732"
"3: pi","3: pi","10258"
"3: pi","4: pi 2pi0","22"
"3: pi","5: 3pi","326"
"3: pi","6: 3pi pi0","104"
"3: pi","7: qq background","0"
"3: pi","8: Bhabha","29"
"4: pi 2pi0","0: e","7"
"4: pi 2pi0","1: mu","4"
"4: pi 2pi0","2: pi pi0","2755"
"4: pi 2pi0","3: pi","14"
"4: pi 2pi0","4: pi 2pi0","4607"
"4: pi 2pi0","5: 3pi","25"
"4: pi 2pi0","6: 3pi pi0","1804"
"4: pi 2pi0","7: qq background","1"
"4: pi 2pi0","8: Bhabha","82"
"5: 3pi","0: e","0"
"5: 3pi","1: mu","6"
"5: 3pi","2: pi pi0","220"
"5: 3pi","3: pi","38"
"5: 3pi","4: pi 2pi0","1"
"5: 3pi","5: 3pi","7512"
"5: 3pi","6: 3pi pi0","1023"
"5: 3pi","7: qq background","0"
"5: 3pi","8: Bhabha","0"
"6: 3pi pi0","0: e","0"
"6: 3pi pi0","1: mu","22"
"6: 3pi pi0","2: pi pi0","289"
"6: 3pi pi0","3: pi","26"
"6: 3pi pi0","4: pi 2pi0","301"
"6: 3pi pi0","5: 3pi","726"
"6: 3pi pi0","6: 3pi pi0","4628"
"6: 3pi pi0","7: qq background","0"
"6: 3pi pi0","8: Bhabha","6"
"7: qq background","0: e","118"
"7: qq background","1: mu","1"
"7: qq background","2: pi pi0","65"
"7: qq background","3: pi","3"
"7: qq background","4: pi 2pi0","0"
"7: qq background","5: 3pi","11"
"7: qq background","6: 3pi pi0","0"
"7: qq background","7: qq background","19970"
"7: qq background","8: Bhabha","180"
"8: Bhabha","0: e","167"
"8: Bhabha","1: mu","23"
"8: Bhabha","2: pi pi0","140"
"8: Bhabha","3: pi","13"
"8: Bhabha","4: pi 2pi0","1"
"8: Bhabha","5: 3pi","3"
"8: Bhabha","6: 3pi pi0","5"
"8: Bhabha","7: qq background","88"
"8: Bhabha","8: Bhabha","11026"
